date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:38:49	73/73	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
00:38:49	26343/26343	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jun%202019%2000:42:57%20GMT	https://colorlib.com/preview/theme/clark/	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/index.html	(from )
00:38:50	9467/9467	---MCZ	200	added ('OK')	text/css	etag:W/%225d18059b-24fb%22	https://colorlib.com/preview/theme/clark/css/open-iconic-bootstrap.min.css	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/css/open-iconic-bootstrap.min.css	(from https://colorlib.com/preview/theme/clark/)
00:38:52	56663/56663	---MCZ	200	added ('OK')	text/css	etag:W/%225d180598-11fa9%22	https://colorlib.com/preview/theme/clark/css/animate.css	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/css/animate.css	(from https://colorlib.com/preview/theme/clark/)
00:38:52	3440/3440	---MCZ	200	added ('OK')	text/css	etag:W/%225d18059c-d70%22	https://colorlib.com/preview/theme/clark/css/owl.carousel.min.css	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/css/owl.carousel.min.css	(from https://colorlib.com/preview/theme/clark/)
00:38:52	965/965	---MCZ	200	added ('OK')	text/css	etag:W/%225d18059c-3c5%22	https://colorlib.com/preview/theme/clark/css/owl.theme.default.min.css	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/css/owl.theme.default.min.css	(from https://colorlib.com/preview/theme/clark/)
00:38:52	5236/5236	---MCZ	200	added ('OK')	text/css	etag:W/%225d18059b-1b26%22	https://colorlib.com/preview/theme/clark/css/magnific-popup.css	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/css/magnific-popup.css	(from https://colorlib.com/preview/theme/clark/)
00:38:53	25948/25948	---MCZ	200	added ('OK')	text/css	etag:W/%225d180598-657f%22	https://colorlib.com/preview/theme/clark/css/aos.css	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/css/aos.css	(from https://colorlib.com/preview/theme/clark/)
00:38:53	46816/46816	---MCZ	200	added ('OK')	text/css	etag:W/%225d18059a-b6e0%22	https://colorlib.com/preview/theme/clark/css/ionicons.min.css	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/css/ionicons.min.css	(from https://colorlib.com/preview/theme/clark/)
00:38:53	1102/1102	---MCZ	200	added ('OK')	text/css	etag:W/%225d180599-57f%22	https://colorlib.com/preview/theme/clark/css/flaticon.css	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/css/flaticon.css	(from https://colorlib.com/preview/theme/clark/)
00:38:53	66594/66594	---MCZ	200	added ('OK')	text/css	etag:W/%225d18059a-13803%22	https://colorlib.com/preview/theme/clark/css/icomoon.css	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/css/icomoon.css	(from https://colorlib.com/preview/theme/clark/)
00:38:53	208300/208300	---MCZ	200	added ('OK')	text/css	etag:W/%225d18059d-3fd58%22	https://colorlib.com/preview/theme/clark/css/style.css	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/css/style.css	(from https://colorlib.com/preview/theme/clark/)
00:38:54	26345/26345	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jun%202019%2000:42:57%20GMT	https://colorlib.com/preview/theme/clark/index.html	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/index-2.html	(from https://colorlib.com/preview/theme/clark/)
00:39:00	93705/93705	---M--	200	added ('OK')	image/jpeg	etag:%225d1805ba-1931c%22	https://colorlib.com/preview/theme/clark/images/project-5.jpg	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/images/project-5.jpg	(from https://colorlib.com/preview/theme/clark/)
00:39:02	418338/418338	---M--	200	added ('OK')	image/jpeg	etag:%225d1805ba-73dfd%22	https://colorlib.com/preview/theme/clark/images/project-4.jpg	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/images/project-4.jpg	(from https://colorlib.com/preview/theme/clark/)
00:39:03	1271049/1271049	---M--	200	added ('OK')	image/png	etag:%225d1805ae-141398%22	https://colorlib.com/preview/theme/clark/images/bg_1.png	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/images/bg_1.png	(from https://colorlib.com/preview/theme/clark/)
00:39:03	198017/198017	---M--	200	added ('OK')	image/jpeg	etag:%225d1805b7-347bd%22	https://colorlib.com/preview/theme/clark/images/project-1.jpg	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/images/project-1.jpg	(from https://colorlib.com/preview/theme/clark/)
00:39:03	91945/91945	---M--	200	added ('OK')	image/jpeg	etag:%225d1805bb-18ca0%22	https://colorlib.com/preview/theme/clark/images/project-6.jpg	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/images/project-6.jpg	(from https://colorlib.com/preview/theme/clark/)
00:39:03	201650/201650	---M--	200	added ('OK')	image/jpeg	etag:%225d1805b8-35df3%22	https://colorlib.com/preview/theme/clark/images/project-2.jpg	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/images/project-2.jpg	(from https://colorlib.com/preview/theme/clark/)
00:39:03	84102/84102	---M--	200	added ('OK')	image/jpeg	etag:%225d1805b8-171ae%22	https://colorlib.com/preview/theme/clark/images/project-3.jpg	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/images/project-3.jpg	(from https://colorlib.com/preview/theme/clark/)
00:39:03	18693/18693	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jun%202019%2000:42:58%20GMT	https://colorlib.com/preview/theme/clark/single.html	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/single.html	(from https://colorlib.com/preview/theme/clark/)
00:39:04	68808/68808	---M--	200	added ('OK')	image/jpeg	etag:%225d1805b2-12a9b%22	https://colorlib.com/preview/theme/clark/images/image_2.jpg	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/images/image_2.jpg	(from https://colorlib.com/preview/theme/clark/)
00:39:05	146203/146203	---M--	200	added ('OK')	image/jpeg	etag:%225d1805a4-25900%22	https://colorlib.com/preview/theme/clark/images/bg_1.jpg	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/images/bg_1.jpg	(from https://colorlib.com/preview/theme/clark/)
00:39:06	145167/145167	---M--	200	added ('OK')	image/jpeg	etag:%225d1805a3-2a7e7%22	https://colorlib.com/preview/theme/clark/images/about.jpg	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/images/about.jpg	(from https://colorlib.com/preview/theme/clark/)
00:39:06	60577/60577	---M--	200	added ('OK')	image/jpeg	etag:%225d1805b4-107bf%22	https://colorlib.com/preview/theme/clark/images/image_3.jpg	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/images/image_3.jpg	(from https://colorlib.com/preview/theme/clark/)
00:39:06	136748/136748	---M--	200	added ('OK')	image/jpeg	etag:%225d1805b1-2585b%22	https://colorlib.com/preview/theme/clark/images/image_1.jpg	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/images/image_1.jpg	(from https://colorlib.com/preview/theme/clark/)
00:39:06	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d88dd43-4d7%22	https://colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	D:/angular/demoClark/clark/colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://colorlib.com/preview/theme/clark/)
00:39:06	11421/11421	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d1805c3-2c9d%22	https://colorlib.com/preview/theme/clark/js/jquery-migrate-3.0.1.min.js	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/js/jquery-migrate-3.0.1.min.js	(from https://colorlib.com/preview/theme/clark/)
00:39:06	268038/268038	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d1805c5-41706%22	https://colorlib.com/preview/theme/clark/js/jquery.min.js	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/js/jquery.min.js	(from https://colorlib.com/preview/theme/clark/)
00:39:07	19032/19032	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d1805c8-4a58%22	https://colorlib.com/preview/theme/clark/js/popper.min.js	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/js/popper.min.js	(from https://colorlib.com/preview/theme/clark/)
00:39:07	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d1805c2-e2d8%22	https://colorlib.com/preview/theme/clark/js/bootstrap.min.js	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/js/bootstrap.min.js	(from https://colorlib.com/preview/theme/clark/)
00:39:07	3601/3601	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d1805c4-1faf%22	https://colorlib.com/preview/theme/clark/js/jquery.easing.1.3.js	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/js/jquery.easing.1.3.js	(from https://colorlib.com/preview/theme/clark/)
00:39:07	8835/8835	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d1805c6-2283%22	https://colorlib.com/preview/theme/clark/js/jquery.waypoints.min.js	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/js/jquery.waypoints.min.js	(from https://colorlib.com/preview/theme/clark/)
00:39:07	12597/12597	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d1805c6-3135%22	https://colorlib.com/preview/theme/clark/js/jquery.stellar.min.js	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/js/jquery.stellar.min.js	(from https://colorlib.com/preview/theme/clark/)
00:39:07	43237/43237	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d1805c7-a8e5%22	https://colorlib.com/preview/theme/clark/js/owl.carousel.min.js	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/js/owl.carousel.min.js	(from https://colorlib.com/preview/theme/clark/)
00:39:08	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d1805c5-4ef8%22	https://colorlib.com/preview/theme/clark/js/jquery.magnific-popup.min.js	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/js/jquery.magnific-popup.min.js	(from https://colorlib.com/preview/theme/clark/)
00:39:08	14212/14212	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d1805c1-37a4%22	https://colorlib.com/preview/theme/clark/js/aos.js	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/js/aos.js	(from https://colorlib.com/preview/theme/clark/)
00:39:08	1391/1391	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d1805c4-56f%22	https://colorlib.com/preview/theme/clark/js/jquery.animateNumber.min.js	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/js/jquery.animateNumber.min.js	(from https://colorlib.com/preview/theme/clark/)
00:39:08	7447/7447	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d1805c8-1d17%22	https://colorlib.com/preview/theme/clark/js/scrollax.min.js	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/js/scrollax.min.js	(from https://colorlib.com/preview/theme/clark/)
00:39:09	3943/3943	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d1805c7-1685%22	https://colorlib.com/preview/theme/clark/js/main.js	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/js/main.js	(from https://colorlib.com/preview/theme/clark/)
00:39:10	12213/12213	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d88dd43-2fb5%22	https://ajax.cloudflare.com/cdn-cgi/scripts/95c75768/cloudflare-static/rocket-loader.min.js	D:/angular/demoClark/clark/ajax.cloudflare.com/cdn-cgi/scripts/95c75768/cloudflare-static/rocket-loader.min.js	(from https://colorlib.com/preview/theme/clark/)
00:39:11	28196/28196	---M--	200	added ('OK')	application/octet-stream	etag:%225d1805e9-6e24%22	https://colorlib.com/preview/theme/clark/fonts/open-iconic/open-iconic.eot	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/fonts/open-iconic/open-iconic.eot	(from https://colorlib.com/preview/theme/clark/css/open-iconic-bootstrap.min.css)
00:39:12	28196/28196	---M--	200	added ('OK')	application/octet-stream	etag:%225d1805e9-6e24%22	https://colorlib.com/preview/theme/clark/fonts/open-iconic/open-iconic.eot?	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/fonts/open-iconic/open-iconicd41d.eot	(from https://colorlib.com/preview/theme/clark/css/open-iconic-bootstrap.min.css)
00:39:12	14984/14984	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225d1805eb-3a88%22	https://colorlib.com/preview/theme/clark/fonts/open-iconic/open-iconic.woff	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/fonts/open-iconic/open-iconic.woff	(from https://colorlib.com/preview/theme/clark/css/open-iconic-bootstrap.min.css)
00:39:14	28028/28028	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225d1805ea-6d7c%22	https://colorlib.com/preview/theme/clark/fonts/open-iconic/open-iconic.ttf	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/fonts/open-iconic/open-iconic.ttf	(from https://colorlib.com/preview/theme/clark/css/open-iconic-bootstrap.min.css)
00:39:14	20996/20996	---MCZ	200	added ('OK')	font/opentype	etag:W/%225d1805e9-5204%22	https://colorlib.com/preview/theme/clark/fonts/open-iconic/open-iconic.otf	D:/angular/demoClark/clark/colorlib.com/preview/theme/clark/fonts/open-iconic/open-iconic.otf	(from https://colorlib.com/preview/theme/clark/css/open-iconic-bootstrap.min.css)
